,0
0,764
1,1102
2,1130
3,461
4,802
5,942
6,1127
7,409
8,690
9,1352
10,1167
11,1140
12,1157
13,1099
14,534
15,816
16,883
17,1333
18,1062
19,111
20,385
21,753
22,1089
23,422
24,738
25,1391
26,1198
27,367
28,867
29,783
30,971
31,932
32,675
33,427
34,1033
35,981
36,910
37,1154
38,294
39,574
40,1001
41,355
42,579
43,913
44,646
45,1402
46,374
47,1004
48,892
49,468
50,1134
51,504
52,1190
53,1020
54,1318
55,794
56,1399
57,1024
58,895
59,406
60,1082
61,926
62,40
63,537
64,760
65,45
66,721
67,1111
68,548
69,987
70,497
71,1114
72,1363
73,595
74,8
75,637
76,870
77,1231
78,715
79,786
80,445
81,37
82,1171
83,769
84,1296
85,1105
86,1131
87,463
88,598
89,491
90,659
91,1347
92,589
93,1108
94,1014
95,1214
96,554
97,886
98,1407
99,358
100,434
101,573
102,686
103,319
104,1051
105,577
106,539
107,477
108,952
109,466
110,14
111,608
112,53
113,23
114,1201
115,750
116,1120
117,1075
118,789
119,570
120,1315
121,199
122,716
123,49
124,370
125,569
126,205
127,1390
128,1217
129,635
130,1404
131,758
132,584
133,43
134,85
135,128
136,993
137,531
138,708
139,631
140,442
141,955
142,1372
143,1403
144,1041
145,629
146,1083
147,1160
148,1158
149,735
150,1196
151,880
152,268
153,1252
154,92
155,990
156,54
157,580
158,1174
159,95
160,590
161,89
162,853
163,1185
164,813
165,1281
166,1375
167,830
168,262
169,1303
170,806
171,873
172,704
173,48
174,887
175,1018
176,60
177,488
178,1398
179,1339
180,152
181,1141
182,543
183,403
184,682
185,762
186,642
187,916
188,36
189,474
190,575
191,1273
192,489
193,1364
194,935
195,161
196,725
197,93
198,16
199,176
200,73
201,1117
202,834
203,585
204,1356
205,540
206,626
207,149
208,713
209,774
210,220
211,1162
212,1419
213,364
214,122
215,949
216,134
217,1378
218,1175
219,1057
220,877
221,66
222,664
223,311
224,431
225,125
226,1359
227,216
228,487
229,275
230,611
231,1297
232,1279
233,798
234,1316
235,46
236,840
237,29
238,1382
239,486
240,317
241,1240
242,42
243,1381
244,1327
245,69
246,808
247,743
248,213
249,1409
250,507
251,6
252,272
253,1389
254,1010
255,836
256,889
257,76
258,297
259,79
260,770
261,382
262,373
263,235
264,300
265,243
266,1344
267,454
268,174
269,710
270,613
271,878
272,451
273,349
274,155
275,1121
276,32
277,517
278,287
279,140
280,1269
281,47
282,289
283,1243
284,627
285,1284
286,124
287,1416
288,655
289,340
290,259
291,885
292,196
293,1038
294,202
295,35
296,977
297,27
298,480
299,1283
300,1371
301,805
302,211
303,1380
304,384
305,284
306,3
307,419
308,1007
309,261
310,975
311,1098
312,533
313,100
314,939
315,1213
316,13
317,551
318,267
319,285
320,513
321,395
322,1110
323,365
324,329
325,1260
326,304
327,258
328,1025
329,420
330,1249
331,1247
332,787
333,697
334,821
335,1164
336,448
337,1138
338,426
339,1238
340,114
341,651
342,1244
343,1215
344,1137
345,65
346,237
347,597
348,1021
349,1386
350,435
351,279
352,948
353,776
354,391
355,1115
356,1149
357,698
358,483
359,931
360,250
361,1002
362,982
363,663
364,351
365,747
366,872
367,657
368,498
369,1026
370,301
371,831
372,945
373,457
374,327
375,356
376,924
377,650
378,423
379,478
380,918
381,875
382,326
383,1275
384,333
385,1090
386,756
387,937
388,565
389,260
390,363
391,1180
392,1357
393,852
394,772
395,129
396,455
397,460
398,482
399,379
400,296
401,11
402,545
403,222
404,1202
405,214
406,561
407,1097
408,739
409,1306
410,1091
411,660
412,1258
413,186
414,807
415,541
416,1068
417,666
418,884
419,1053
420,512
421,765
422,954
423,692
424,334
425,104
426,190
427,254
428,940
429,612
430,1116
431,207
432,588
433,722
434,927
435,147
436,458
437,1232
438,162
439,1161
440,1354
441,33
442,456
443,1066
444,745
445,521
446,676
447,596
448,644
449,424
450,1379
451,811
452,1050
453,768
454,869
455,185
456,969
457,182
458,263
459,803
460,439
461,1152
462,928
463,229
464,51
465,103
466,790
467,1087
468,983
469,694
470,966
471,282
472,308
473,253
474,1193
475,1370
476,476
477,1118
478,215
479,793
480,576
481,944
482,719
483,470
484,97
485,239
486,714
487,28
488,288
489,1019
490,667
491,440
492,157
493,430
494,550
495,860
496,390
497,437
498,1061
499,1319
500,1119
501,449
502,1365
503,219
504,148
505,1144
506,535
507,444
508,212
509,674
510,1056
511,1239
512,70
513,508
514,701
515,1045
516,1063
517,210
518,688
519,392
520,862
521,1076
522,661
523,321
524,1292
525,493
526,1383
527,1079
528,1179
529,347
530,225
531,819
532,499
533,781
534,522
535,1107
536,1159
537,1015
538,1113
539,184
540,784
541,22
542,206
543,1401
544,479
545,59
546,194
547,0
548,151
549,485
550,432
551,516
552,203
553,201
554,1245
555,153
556,973
557,1395
558,876
559,490
560,179
561,1341
562,145
563,1173
564,113
565,164
566,669
567,1229
568,518
569,729
570,118
571,1194
572,506
573,524
574,1335
575,238
576,107
577,154
578,536
579,78
580,198
581,4
582,1042
583,121
584,587
585,1420
586,338
587,142
588,894
589,141
590,825
591,564
592,1301
593,1394
594,1136
595,1253
596,346
597,150
598,546
599,1008
600,1408
601,529
602,691
603,902
604,34
605,1188
606,599
607,264
608,1349
609,280
610,1227
611,934
612,891
613,567
614,178
615,330
616,501
617,503
618,293
619,592
620,248
621,763
622,80
623,380
624,126
625,132
626,62
627,192
628,320
629,1197
630,1109
631,120
632,941
633,405
634,31
635,25
636,64
637,1314
638,1077
639,417
640,502
641,197
642,1093
643,83
644,354
645,970
646,1208
647,1080
648,188
649,421
650,227
651,1361
652,1337
653,298
654,999
655,812
656,1400
657,189
658,217
659,1074
660,600
661,1334
662,951
663,94
664,133
665,972
666,849
667,1374
668,286
669,96
670,469
671,1233
672,191
673,964
674,1226
675,733
676,1353
677,1070
678,204
679,845
680,900
681,1166
682,1259
683,526
684,136
685,652
686,720
687,1212
688,72
689,1132
690,195
691,465
692,324
693,1200
694,376
695,511
696,26
697,1285
698,224
699,1006
700,247
701,251
702,1313
703,826
704,1308
705,1016
706,436
707,791
708,896
709,1199
710,19
711,84
712,950
713,989
714,1009
715,778
716,814
717,383
718,1387
719,1035
720,1029
721,1262
722,820
723,946
724,407
725,332
726,110
727,630
728,335
729,1276
730,856
731,775
732,368
733,1350
734,1203
735,1422
736,1384
737,908
738,828
739,1003
740,1182
741,930
742,1298
743,1005
744,1321
745,866
746,181
747,1122
748,416
749,200
750,1362
751,915
752,1373
753,899
754,1280
755,117
756,1126
757,943
758,1250
759,1367
760,408
761,712
762,559
763,1271
764,804
765,101
766,996
767,1348
768,1106
769,1211
770,274
771,838
772,7
773,1064
774,914
775,127
776,339
777,671
778,1351
779,1216
780,1058
781,1221
782,1286
783,782
784,1325
785,1311
786,357
787,919
788,402
789,1170
790,888
791,277
792,960
793,925
794,428
795,850
796,882
797,17
798,1224
799,173
800,624
801,290
802,1392
803,123
804,1268
805,1222
806,670
807,399
808,737
809,1123
810,303
811,39
812,1234
813,757
814,967
815,861
816,961
817,1322
818,362
819,135
820,170
821,1342
822,740
823,1085
824,1329
825,1406
826,1177
827,636
828,1071
829,98
830,386
831,1230
832,193
833,30
834,980
835,1013
836,256
837,865
838,1265
839,1368
840,21
841,143
842,156
843,112
844,1295
845,1104
846,1139
847,1331
848,1032
849,843
850,309
851,397
852,1186
853,1328
854,864
855,228
856,75
857,572
858,510
859,1163
860,621
861,316
862,1142
863,1242
864,648
865,291
866,958
867,336
868,57
869,115
870,841
871,594
872,947
873,668
874,617
875,208
876,425
877,699
878,514
879,167
880,672
881,1052
882,41
883,15
884,223
885,61
886,680
887,851
888,602
889,582
890,24
891,255
892,693
893,568
894,766
895,614
896,443
897,792
898,471
899,377
900,1031
901,372
902,337
903,653
904,563
905,687
906,1135
907,352
908,71
909,734
910,1028
911,276
912,662
913,619
914,131
915,994
916,681
917,625
918,623
919,874
920,665
921,809
922,645
923,52
924,1048
925,827
926,673
927,361
928,378
929,560
930,86
931,700
932,566
933,63
934,780
935,472
936,858
937,752
938,520
939,898
940,1207
941,795
942,418
943,1039
944,749
945,639
946,246
947,634
948,230
949,523
950,938
951,746
952,1195
953,705
954,730
955,527
956,696
957,818
958,160
959,703
960,685
961,271
962,773
963,44
964,481
965,702
966,997
967,18
968,810
969,744
970,366
971,1055
972,20
973,959
974,995
975,905
976,1172
977,528
978,1150
979,962
980,557
981,586
982,855
983,711
984,678
985,1049
986,583
987,500
988,1343
989,755
990,759
991,609
992,1103
993,929
994,578
995,441
996,299
997,633
998,727
999,530
1000,978
1001,709
1002,388
1003,1012
1004,817
1005,835
1006,724
1007,906
1008,799
1009,605
1010,847
1011,837
1012,1030
1013,622
1014,601
1015,677
1016,879
1017,1043
1018,923
1019,509
1020,1034
1021,921
1022,620
1023,1059
1024,824
1025,741
1026,742
1027,1237
1028,857
1029,1054
1030,552
1031,105
1032,957
1033,684
1034,1036
1035,992
1036,1047
1037,718
1038,81
1039,822
1040,1176
1041,1385
1042,410
1043,56
1044,707
1045,99
1046,400
1047,1388
1048,168
1049,265
1050,998
1051,1340
1052,313
1053,731
1054,505
1055,82
1056,232
1057,310
1058,603
1059,343
1060,307
1061,415
1062,116
1063,1101
1064,452
1065,991
1066,1187
1067,494
1068,306
1069,1095
1070,823
1071,1300
1072,628
1073,593
1074,257
1075,985
1076,305
1077,462
1078,911
1079,1317
1080,1088
1081,137
1082,1129
1083,1000
1084,890
1085,1191
1086,1094
1087,1294
1088,169
1089,1067
1090,986
1091,640
1092,172
1093,1169
1094,1309
1095,1288
1096,1266
1097,77
1098,936
1099,581
1100,234
1101,1209
1102,558
1103,266
1104,549
1105,453
1106,1274
1107,607
1108,647
1109,689
1110,1345
1111,616
1112,1277
1113,473
1114,1289
1115,241
1116,331
1117,1346
1118,450
1119,393
1120,833
1121,404
1122,1251
1123,270
1124,788
1125,1100
1126,1156
1127,1219
1128,542
1129,1073
1130,1168
1131,1125
1132,515
1133,283
1134,654
1135,748
1136,1046
1137,1153
1138,615
1139,643
1140,464
1141,1112
1142,871
1143,963
1144,323
1145,166
1146,863
1147,1282
1148,829
1149,555
1150,726
1151,859
1152,1257
1153,130
1154,2
1155,55
1156,67
1157,610
1158,209
1159,728
1160,233
1161,269
1162,350
1163,318
1164,1415
1165,401
1166,484
1167,638
1168,1304
1169,12
1170,360
1171,649
1172,751
1173,221
1174,218
1175,641
1176,369
1177,312
1178,912
1179,754
1180,302
1181,68
1182,467
1183,475
1184,413
1185,1145
1186,1235
1187,1165
1188,138
1189,1205
1190,314
1191,839
1192,139
1193,767
1194,438
1195,848
1196,922
1197,273
1198,771
1199,315
1200,411
1201,459
1202,544
1203,375
1204,1155
1205,933
1206,988
1207,389
1208,353
1209,295
1210,683
1211,163
1212,797
1213,447
1214,893
1215,695
1216,571
1217,1060
1218,717
1219,90
1220,1040
1221,1414
1222,446
1223,242
1224,1411
1225,387
1226,398
1227,656
1228,706
1229,1128
1230,909
1231,618
1232,245
1233,796
1234,606
1235,175
1236,1189
1237,903
1238,953
1239,1393
1240,1330
1241,897
1242,777
1243,976
1244,292
1245,723
1246,1146
1247,965
1248,1044
1249,1072
1250,1065
1251,278
1252,1310
1253,525
1254,1210
1255,1023
1256,1302
1257,1011
1258,1256
1259,553
1260,1293
1261,904
1262,1241
1263,109
1264,1124
1265,846
1266,658
1267,1204
1268,1228
1269,74
1270,842
1271,1184
1272,1299
1273,907
1274,1151
1275,1086
1276,1270
1277,1366
1278,1178
1279,779
1280,968
1281,1225
1282,119
1283,844
1284,1192
1285,901
1286,1069
1287,1092
1288,1369
1289,1143
1290,547
1291,1078
1292,1355
1293,1323
1294,832
1295,1405
1296,1263
1297,1246
1298,1220
1299,956
1300,1181
1301,1417
1302,532
1303,87
1304,538
1305,1360
1306,1255
1307,1396
1308,1290
1309,1017
1310,1
1311,1287
1312,1147
1313,1096
1314,1413
1315,1278
1316,1027
1317,1254
1318,1264
1319,1336
1320,1223
1321,1418
1322,1133
1323,1320
1324,1272
1325,1312
1326,1081
1327,1037
1328,1307
1329,1261
1330,1397
1331,1267
1332,1326
1333,1218
1334,1410
1335,1421
1336,984
1337,1358
1338,1305
1339,244
1340,1338
1341,556
1342,1248
1343,1412
1344,1332
1345,144
1346,429
1347,1236
1348,1206
1349,106
1350,974
1351,1148
1352,679
1353,396
1354,881
1355,604
1356,1377
1357,9
1358,519
1359,5
1360,732
1361,495
1362,344
1363,341
1364,359
1365,159
1366,91
1367,1022
1368,917
1369,1183
1370,38
1371,979
1372,736
1373,761
1374,868
1375,1324
1376,1291
1377,591
1378,381
1379,800
1380,815
1381,785
1382,177
1383,108
1384,322
1385,412
1386,252
1387,171
1388,88
1389,10
1390,325
1391,371
1392,50
1393,183
1394,249
1395,328
1396,281
1397,187
1398,240
1399,180
1400,102
1401,342
1402,345
1403,226
1404,348
1405,165
1406,158
1407,146
1408,920
1409,394
1410,231
1411,236
1412,492
1413,632
1414,414
1415,496
1416,58
1417,562
1418,433
1419,1376
1420,1084
1421,854
1422,801
