,0,1,2,3
0,0,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],749,1569.530267391389
1,1,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],889,1585.5425903465732
2,2,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],156,1588.495841574302
3,3,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],688,1577.2884613680544
4,4,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],715,1558.1363072731722
5,5,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],151,1573.8847155930312
6,6,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],897,1580.6401895187441
7,7,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1074,1584.0213693529795
8,8,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],840,1588.8064123719716
9,9,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],657,1580.8049140935727
10,10,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],404,1558.4946380491308
11,11,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],377,1575.6449671913815
12,12,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],669,1580.4638258118644
13,13,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],260,1587.78736970914
14,14,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],656,1590.270285343143
15,15,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1003,1581.9265462936526
16,16,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],870,1563.5703221495792
17,17,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1025,1578.9923064078805
18,18,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],506,1585.7614156661368
19,19,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1050,1589.1365180087914
20,20,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],744,1586.0863812324567
21,21,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],179,1587.5759257502734
22,22,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],137,1579.1582973871186
23,23,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],219,1585.1545584841188
24,24,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],720,1589.2443256856425
25,25,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],813,1589.2977912202582
26,26,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],483,1586.9319205601464
27,27,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],448,1585.7964503003282
28,28,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],647,1578.425627885367
29,29,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],719,1582.3571587921483
30,30,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],537,1590.2261909681977
31,31,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],835,1590.1500340432665
32,32,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],579,1590.827356692974
33,33,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],708,1580.4670859797282
34,34,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],365,1578.9091108263058
35,35,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],517,1591.0400778159462
36,36,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],753,1589.313642845949
37,37,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],35,1578.8728204687213
38,38,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],700,1588.6129319323086
39,39,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],409,1587.279238044977
40,40,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],668,1585.5576070941725
41,41,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],312,1588.6217985091766
42,42,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],487,1589.611170827005
43,43,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],362,1587.3223081013246
44,44,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1079,1582.797191068949
45,45,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1038,1583.9364781888899
46,46,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],814,1590.8637735944055
47,47,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],881,1589.4939026407085
48,48,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1007,1579.490686304976
49,49,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],46,1579.7946148275612
50,50,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],806,1588.0790883543527
51,51,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],911,1588.2484677319878
52,52,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],736,1584.7162507903265
53,53,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1311,1589.3348374876803
54,54,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],417,1575.0503877243025
55,55,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],32,1579.9369931350006
56,56,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],746,1587.4228758710558
57,57,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],873,1590.1098916989076
58,58,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1285,1587.644765837126
59,59,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],827,1576.792787755349
60,60,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],847,1573.3309879934322
61,61,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],172,1574.3701928043936
62,62,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],667,1585.581047897716
63,63,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],373,1584.9882625523705
64,64,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1184,1565.7451985654304
65,65,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],834,1571.1390377098376
66,66,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],869,1568.434467759953
67,67,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],459,1579.539125785499
68,68,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],694,1583.22842782282
69,69,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],743,1585.0479348766883
70,70,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],113,1569.8181604518045
71,71,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],684,1569.113516027024
72,72,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],721,1577.6987463193332
73,73,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],501,1584.2085523482833
74,74,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],217,1585.5015840302945
75,75,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1166,1581.6850149753016
76,76,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],824,1570.7714438793316
77,77,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],895,1563.1224214677086
78,78,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],1035,1571.2198695948312
79,79,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],727,1576.023211186434
80,80,[ 5.42985621e+04  1.58924583e+03 -3.17995200e-02  5.65595637e-01],523,1583.7647400997512
